Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,211.35000610351562,212.60000610351562,208.39999389648438,211.9499969482422,158.07188415527344,6447592
2020-01-02,212.5,212.8000030517578,208.3000030517578,211.10000610351562,157.43797302246094,5958343
2020-01-03,210.0,212.60000610351562,207.6999969482422,211.85000610351562,157.997314453125,6452638
2020-01-06,209.9499969482422,209.9499969482422,203.4499969482422,205.6999969482422,153.41065979003906,6853058
2020-01-07,206.5,208.1999969482422,204.35000610351562,205.6999969482422,153.41065979003906,5243225
2020-01-08,203.0,204.5500030517578,198.1999969482422,200.1999969482422,149.3087615966797,7295998
2020-01-09,203.25,203.6999969482422,197.35000610351562,198.0,147.66802978515625,10321169
2020-01-10,199.14999389648438,206.5500030517578,198.9499969482422,205.3000030517578,153.11233520507812,13533598
2020-01-13,205.3000030517578,212.0,205.0,211.5500030517578,157.77359008789062,9863555
2020-01-14,211.14999389648438,213.5,209.75,212.9499969482422,158.8177032470703,5417581
2020-01-15,212.60000610351562,214.60000610351562,211.3000030517578,212.4499969482422,158.44480895996094,4863227
2020-01-16,212.4499969482422,212.6999969482422,207.10000610351562,210.25,156.8040313720703,6937929
2020-01-17,210.0,210.5500030517578,206.10000610351562,207.89999389648438,155.05142211914062,5985342
2020-01-20,208.0,209.8000030517578,200.5,201.14999389648438,150.0172882080078,8110607
2020-01-21,201.14999389648438,205.25,201.14999389648438,202.14999389648438,150.76307678222656,6347967
2020-01-22,199.10000610351562,199.39999389648438,190.9499969482422,191.89999389648438,143.11865234375,19096395
2020-01-23,192.0500030517578,195.1999969482422,189.85000610351562,190.75,142.26097106933594,16369722
2020-01-24,193.0,196.3000030517578,192.14999389648438,193.9499969482422,144.6475372314453,10626281
2020-01-27,193.9499969482422,195.0,192.0,193.35000610351562,144.2000732421875,7195361
2020-01-28,193.89999389648438,194.25,188.39999389648438,189.14999389648438,141.0677032470703,10274562
2020-01-29,191.0,193.0,188.0,191.0500030517578,142.48472595214844,10602818
2020-01-30,191.39999389648438,192.35000610351562,187.5,187.9499969482422,140.17274475097656,10859103
2020-01-31,188.8000030517578,189.4499969482422,180.0,181.6999969482422,135.51150512695312,35281395
2020-02-03,174.89999389648438,179.4499969482422,172.14999389648438,178.64999389648438,133.23681640625,15284598
2020-02-04,180.75,183.0,179.75,182.5,136.10813903808594,10043759
2020-02-05,184.0,184.0,178.5,179.25,133.68431091308594,9468632
2020-02-06,180.1999969482422,181.60000610351562,178.25,179.9499969482422,134.2063446044922,6917941
2020-02-07,180.3000030517578,186.0500030517578,178.10000610351562,185.0500030517578,138.0099334716797,13470302
2020-02-10,184.89999389648438,185.0,177.64999389648438,178.85000610351562,133.385986328125,19665611
2020-02-11,180.0,181.5,176.25,179.35000610351562,133.75889587402344,16397703
2020-02-12,181.0,183.39999389648438,178.1999969482422,180.3000030517578,134.46739196777344,14669421
2020-02-13,180.3000030517578,180.9499969482422,175.85000610351562,177.8000030517578,132.60289001464844,11781999
2020-02-14,178.0,178.89999389648438,174.1999969482422,174.75,130.32821655273438,15392705
2020-02-17,174.75,175.1999969482422,166.8000030517578,167.85000610351562,125.18222045898438,15997350
2020-02-18,168.10000610351562,173.9499969482422,165.0,171.85000610351562,128.1654052734375,27643844
2020-02-19,176.35000610351562,178.5500030517578,174.25,177.75,132.56561279296875,21092109
2020-02-20,177.75,180.25,175.1999969482422,179.35000610351562,133.75889587402344,16776977
2020-02-24,178.75,178.89999389648438,173.3000030517578,174.85000610351562,130.40280151367188,9952676
2020-02-25,176.10000610351562,178.6999969482422,174.1999969482422,175.10000610351562,130.5892333984375,13534936
2020-02-26,174.1999969482422,177.75,172.64999389648438,173.8000030517578,129.6197052001953,10925243
2020-02-27,173.75,174.5500030517578,169.60000610351562,174.10000610351562,129.8434600830078,11500515
2020-02-28,171.5500030517578,171.8000030517578,166.75,168.39999389648438,125.59239196777344,14694382
2020-03-02,172.64999389648438,175.0,168.3000030517578,169.35000610351562,126.30089569091797,11962711
2020-03-03,171.35000610351562,179.64999389648438,170.89999389648438,178.1999969482422,132.90121459960938,17015816
2020-03-04,178.25,179.8000030517578,174.10000610351562,178.10000610351562,132.82662963867188,9858330
2020-03-05,180.0,180.1999969482422,172.1999969482422,177.14999389648438,132.11813354492188,12349902
2020-03-06,166.6999969482422,173.0,166.5,168.75,125.85342407226562,10629291
2020-03-09,165.8000030517578,166.6999969482422,156.9499969482422,157.9499969482422,117.7988052368164,23967899
2020-03-11,158.10000610351562,169.89999389648438,157.0500030517578,168.0,125.29408264160156,28399797
2020-03-12,161.0,163.0,150.10000610351562,154.5500030517578,115.26309967041016,33250878
2020-03-13,146.25,161.5500030517578,123.6500015258789,154.10000610351562,114.927490234375,43328010
2020-03-16,150.9499969482422,151.35000610351562,143.10000610351562,143.89999389648438,107.3203353881836,23542677
2020-03-17,145.1999969482422,155.39999389648438,142.3000030517578,145.89999389648438,108.81193542480469,18989633
2020-03-18,151.60000610351562,151.85000610351562,143.0,145.0500030517578,108.17801666259766,18737193
2020-03-19,128.0,133.5,122.0,123.55000305175781,100.45391845703125,28547877
2020-03-20,124.5,135.8000030517578,122.6500015258789,132.8000030517578,107.9747543334961,24022133
2020-03-23,122.5,134.85000610351562,120.05000305175781,127.8499984741211,103.95008087158203,17884315
2020-03-24,129.25,135.0,125.44999694824219,127.8499984741211,103.95008087158203,9991023
